Inhibition Zone (mm)
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
11.0
12.0
14.0
11.0
13.0
14.0
19.0
28.0
10.0
14.0
29.0
22.0
14.0
9.0
35.0
19.0
21.0
18.0
17.0
18.0
22.0
21.0
31.0
30.0
22.0
24.0
25.0
14.0
13.5
0.0
33.0
30.0
17.0
31.0
18.0
16.0
15.0
19.0
19.66
25.66
15.0
16.0
18.0
15.0
13.0
16.0
20.0
23.0
29.0
35.0
28.0
40.0
17.0
16.0
11.0
9.7
9.7
8.6
0.0
9.0
10.0
10.0
8.0
10.0
13.0
14.0
16.0
19.0
16.0
14.0
15.0
13.0
13.46
15.34
14.16
12.75
12.9
14.3
11.1
13.4
17.5
14.9
12.3
17.7
17.6
17.8
17.3
22.7
18.9
15.5
20.4
20.1
19.0
16.9
22.0
12.0
17.7
21.7
30.7
